year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
23,19,64246,0126003,Los Angeles,Antelope Valley Union High,Academies of the Antelope Valley,High School District,High Schools (Public),Traditional,,Yes,1415,Locally funded,N,6,12,665,441,9,0,2,4,266,451,49,456,Y,1,7,10,,2,0,6,12,1,19642460126003
23,19,64246,1996537,Los Angeles,Antelope Valley Union High,Desert Sands Charter,High School District,High Schools (Public),Traditional,,Yes,0411,Directly funded,Y,9,12,742,490,28,0,22,0,455,629,67,638,Y,1,7,10,,1,1,9,12,1,19642461996537
23,19,64246,0000000,Los Angeles,Antelope Valley Union High,,High School District,,,,,,,,,,21370,11998,454,0,170,60,10041,13201,2252,13907,Y,,,,,,,,,1,19642460000000
23,19,64261,0000000,Los Angeles,Arcadia Unified,,Unified School District,,,,,,,,,,8818,875,15,0,10,0,1910,2783,1058,3298,Y,,,,,,,,,1,19642610000000
23,19,64279,0000000,Los Angeles,Azusa Unified,,Unified School District,,,,,,,,,,6690,5210,55,0,270,5,3671,5807,1721,5977,Y,,,,,,,,,1,19642790000000
23,19,64287,1996479,Los Angeles,Baldwin Park Unified,Opportunities for Learning - Baldwin Park,Unified School District,High Schools (Public),Traditional,,Yes,0402,Directly funded,Y,7,12,480,347,7,0,15,0,254,383,33,384,Y,1,7,10,,1,1,7,12,1,19642871996479
23,19,64287,0000000,Los Angeles,Baldwin Park Unified,,Unified School District,,,,,,,,,,10281,8671,77,0,486,0,5655,9022,2120,9217,Y,,,,,,,,,1,19642870000000
23,19,64295,0000000,Los Angeles,Bassett Unified,,Unified School District,,,,,,,,,,2923,2632,18,0,409,0,1643,2642,753,2678,Y,,,,,,,,,1,19642950000000
23,19,64303,0000000,Los Angeles,Bellflower Unified,,Unified School District,,,,,,,,,,9989,7739,86,0,35,0,4477,7785,1764,7983,Y,,,,,,,,,1,19643030000000
23,19,64311,0000000,Los Angeles,Beverly Hills Unified,,Unified School District,,,,,,,,,,3102,466,5,0,8,0,461,514,188,649,Y,,,,,,,,,1,19643110000000
23,19,64329,0000000,Los Angeles,Bonita Unified,,Unified School District,,,,,,,,,,9731,3342,67,0,52,0,2357,3387,492,3572,Y,,,,,,,,,1,19643290000000
23,19,64337,0000000,Los Angeles,Burbank Unified,,Unified School District,,,,,,,,,,14372,4115,30,0,38,0,3692,4573,1533,5244,Y,,,,,,,,,1,19643370000000
